SL,Task Name,Hour,Task Type,Project Name
1,Add Js Filter Before Submit Task,4,,
2,Calendar Issue And Support Mail Issue,3,Plugin Issue,Project Manager
3,Calendar User View,40,Plugin Issue,Project Manager
4,Crud,4,,
5,Design Vue-tooltip For Task Label,2,,
6,Discuss,1,,
7,Enhancement For Milestore Migration,3,,
8,Erp Setup Wizard,1,,
9,Fix Label Update Issue,1,,
10,Introduce With Vue-tooltip And Set It Project Manager,2,,
11,Label Create One But Showing Multiple Fix It,1,,
12,Label Delete One But Showing Delete Multiple Fix It,1,,
13,"Label Setting Update Desing, Sorting, Php Function Arrangement",2,,
14,Label Settings Crud Design,3,,
15,Label Update From Single Task Popup,4,,
16,Project Manager Release,3,,
17,Release Issue,3,,
18,Release Issue For Erp,2,,
19,Set Animation Spinner,1,,
20,Set Label For Task,4,,
21,Set Loading Effect For Lot Of Button,1,,
22,Set Wp Hook If It Not Exist In Wordpress Built In.,1,,
23,Show In Task Inline Label,1,,
