Date,Task Name,Hour,Project,Type
02-May-2019,Release wc-conversion-tracking-pro,2,WCCT,Release
07-May-2019,Review wp-user-frontend,6,WPUF,R&D
08-May-2019,Review wp-user-frontend,6,WPUF,R&D
09-May-2019,Review wp-user-frontend code based,6,WPUF,R&D
10-May-2019,Review wp-user-frontend code based,6,WPUF,R&D
13-May-2019,Review wp-user-frontend extension,7,WPUF,R&D
14-May-2019,Review weForms,5,weForms,R&D
16-May-2019,Review weForms,5,weForms,R&D
17-May-2019,Review weForms extension,6,weForms,R&D
20-May-2019, Separate post types with a bottom separator,3,bedIQ,New Feature
21-May-2019,Cleanup WP dashboard widgets,4,bedIQ,New Feature
22-May-2019,Convert CMB to ACF,5,bedIQ,New Feature
23-May-2019,Convert CMB to ACF,5,bedIQ,New Feature
24-May-2019,Client Restriction,5,bedIQ,New Feature
27-May-2019,Client Restriction,6,bedIQ,New Feature
28-May-2019,Client Restriction,5,bedIQ,New Feature
29-May-2019,Client Restriction(Limitation for upload media),4,bedIQ,New Feature
30-May-2019,Client Restriction(Limitation for page creation),5,bedIQ,New Feature
