Date,Task,Hour,Project,Type
2019-05-02,Add payment actions for admin - api,5,Bnimoy,New Feature
2019-05-03,Add payment actions for admin - frontend,5,Bnimoy,New Feature
2019-05-06,Create prototype for admin panel,6,Bnimoy,New Feature
2019-05-07,Fix pdf footer and other minor issues,7,Bnimoy,Bug Fix
2019-05-09,Research on other payment gateways,12,Bnimoy,R&D
2019-05-10,Test the frontend features,5,Bnimoy,New Feature
2019-05-13,"Create database schema, migration for acl",7,Bnimoy,New Feature
2019-05-14,Add ACL apis,7,Bnimoy,New Feature
2019-05-15,Update billing schema,6,Bnimoy,Bug Fix
2019-05-16,Add fake gateway for test suites and update tests accordingly,7,Bnimoy,New Feature
2019-05-17,Add filtering APIs,8,Bnimoy,New Feature
2019-05-20,Test filtering APIs,7,Bnimoy,New Feature
2019-05-21,Add filtering UI in frontend,8,Bnimoy,New Feature
2019-05-22,Fix service charge calculation,1,Bnimoy,Bug Fix
2019-05-22,Fix wallet update broadcast listener,4,Bnimoy,Bug Fix
2019-05-23,Add welcome tour,4,Bnimoy,New Feature
2019-05-23,"Fix lint errors, hide inactive bills",4,Bnimoy,Bug Fix
2019-05-24,Add Bill timeline,6,Bnimoy,New Feature
2019-05-27,Add bill filter by day number,4,Bnimoy,New Feature
2019-05-27,Test billing APIs,4,Bnimoy,New Feature
2019-05-28,Update transaction log api,4,Bnimoy,New Feature
2019-05-29,Redesigned payments page,8,Bnimoy,New Feature
2019-05-30,Fixed bill and payment order,4,Bnimoy,Bug Fix
2019-05-30,Added filter for recurring non-recurring bills,4,Bnimoy,New Feature
2019-05-31,Isolated payments in tabs in frontend,8,Bnimoy,New Feature
