Date,Task,Hour,Project Type,Type
2-May-2019,WP ERP v1.4.4 testing for release purpose,1,WP ERP,Testing
2-May-2019,Dokan pro module testing,2,Dokan,Testing
2-May-2019,WPUF testing for release purpose,2,WPUF,Testing
2-May-2019,Project manager testing for release purpose,3,Project Manager,Testing
03-May-2019,WP ERP accounting testing and discussion,2,WP ERP,Testing
03-May-2019,Dokan free and pro testing,2,Dokan,Testing
03-May-2019,Project manager testing and listing issues,3,Project Manager,Testing
06-May-2019,WP ERP accounting testing and discussion,3,WP ERP,Testing
06-May-2019,Dokan pro testing for release purpose,2,Dokan,Testing
06-May-2019,Project manager testing and listing issues,2,Project Manager,Testing
07-May-2019,WP Project manager testing for release purpose,2,Project Manager,Testing
07-May-2019,WP ERP Accounting testing,1,WP ERP,Testing
07-May-2019,Dokan free v2.9.15 testing for release purpose,2,Dokan,Testing
08-May-2019,WP ERP accounting testing,2,WP ERP,Testing
08-May-2019,WP project manager existing issues are listings,3,Project Manager,Testing
09-May-2019,Conditional Logic on Submit Button,1,weForms,Testing
09-May-2019,WP ERP accounting testing and discussion,2,WP ERP,Testing
09-May-2019,Dokan features are testing,2,Dokan,Testing
10-May-2019,weForms testing and assigned task for release purpose,3,weForms,Testing
10-May-2019,WP ERP accounting testing and discussion,2,WP ERP,Testing
13-May-2019,Dokan existing features are testing,2,Dokan,Testing
13-May-2019,WP ERP accounting testing and discussion,2,WP ERP,Testing
13-May-2019,wp project manager testing,1,Project Manager,Testing
14-May-2019,Planning and writing automation script,2,Dokan,Testing
14-May-2019,WP ERP accounting testing and discussion,3,WP ERP,Testing
15-May-2019,Dokan Admin settings Rearrangement,3,Dokan,Testing
15-May-2019,WP ERP accounting testing and discussion,2,WP ERP,Testing
16-May-2019,WP erp accounting testing,1,WP ERP,Testing
16-May-2019,Dokan existing features are testing,2,Dokan,Testing
16-May-2019,WP Project manager testing for release purpose,2,Project Manager,Testing
20-May-2019,Project Manager Features & Issues listings with doc,5,Project Manager,Testing
20-May-2019,Settings (UX:Rokib) following weForms integration),1,weForms,Testing
21-May-2019,Project manager Testing Date wise filtering when searching,1,Project Manager,Testing
21-May-2019,Project manager Features & Issues listings with doc,2,Project Manager,Testing
21-May-2019,Add estimated work hour field in time tracker module,1,Project Manager,Testing
22-May-2019,Project manager overall Testing & Assign Task,3,Project Manager,Testing
22-May-2019,WP erp accounting testing,2,WP ERP,Testing
23-May-2019,Testing WPUF  for release purpose,3,WPUF,Testing
23-May-2019,WP erp accounting testing,2,WP ERP,Testing
24-May-2019,Dokan Admin settings Rearrangement,2,Dokan,Testing
24-May-2019,WP ERP testing and assigned task,3,WP ERP,Testing
28-May-2019,WP ERP - Recruitment fixing issues ,1,WP ERP,Testing
28-May-2019,WP erp accounting testing,2,WP ERP,Testing
28-May-2019,WP ERP accounting testing and discussion,2,WP ERP,Testing
29-May-2019,WP ERP accounting testing and discussion,5,WP ERP,Testing
30-May-2019,Testing WPUF  for release purpose,3,WPUF,Testing
30-May-2019,WP ERP accounting testing and discussion,2,WP ERP,Testing
31-May-2019,WP ERP accounting testing and discussion,5,WP ERP,Testing
